,mincall_b0,mincall_b50,chiron_v0.3,albacore_v2.2.7,guppy_v0.5.1
coverage_threshold,0.0,0.0,0.0,0.0,0.0
snp_count,754.0,1055.0,144.0,296.0,296.0
insertion_count,10.0,27.0,1.0,55.0,51.0
deletion_count,973.0,1049.0,84.0,214.0,202.0
num_undercovered_bases,0.0,0.0,0.0,0.0,0.0
num_called_bases,5518398.0,5518348.0,5519359.0,5519275.0,5519287.0
num_correct_bases,5517634.0,5517266.0,5519214.0,5518924.0,5518940.0
average_coverage,205.7549182862867,132.71749899854206,206.40672653612594,206.98173387833904,206.81418194882718
snp_rate,0.013663385641992477,0.01911804039904696,0.0026089986174119132,0.005363023223158838,0.005363011562906586
insertion_rate,0.00018121201116700898,0.000489276863293145,1.8118045954249397e-05,0.0009965076934923519,0.000924032397662959
deletion_rate,0.017631928686549975,0.01900931220720404,0.0015219158601569493,0.0038773208437702417,0.003659893026037602
correct_rate,99.98615540234684,99.98039268273766,99.99737288333664,99.99364046908335,99.99371295603943
identity_percentage,99.9670619474542,99.96039461888608,99.99568797771953,99.990433832924,99.99072371677478
